Episode 000200 of 100000. 	 Avg length: 263 	 Reward: 1.455
Episode 000400 of 100000. 	 Avg length: 278 	 Reward: 1.395
Episode 000600 of 100000. 	 Avg length: 247 	 Reward: 1.425
Episode 000800 of 100000. 	 Avg length: 251 	 Reward: 1.47
Episode 001000 of 100000. 	 Avg length: 261 	 Reward: 1.765
Episode 001200 of 100000. 	 Avg length: 326 	 Reward: 2.78
Episode 001400 of 100000. 	 Avg length: 324 	 Reward: 3.005
Episode 001600 of 100000. 	 Avg length: 339 	 Reward: 3.485
Episode 001800 of 100000. 	 Avg length: 370 	 Reward: 3.985
Episode 002000 of 100000. 	 Avg length: 397 	 Reward: 4.38
Episode 002200 of 100000. 	 Avg length: 377 	 Reward: 4.415
Episode 002400 of 100000. 	 Avg length: 413 	 Reward: 4.845
Episode 002600 of 100000. 	 Avg length: 407 	 Reward: 5.005
Episode 002800 of 100000. 	 Avg length: 385 	 Reward: 4.64
Episode 003000 of 100000. 	 Avg length: 399 	 Reward: 4.94
Episode 003200 of 100000. 	 Avg length: 380 	 Reward: 4.355
Episode 003400 of 100000. 	 Avg length: 383 	 Reward: 4.51
Episode 003600 of 100000. 	 Avg length: 397 	 Reward: 5.02
Episode 003800 of 100000. 	 Avg length: 400 	 Reward: 5.155
Episode 004000 of 100000. 	 Avg length: 404 	 Reward: 5.085
Episode 004200 of 100000. 	 Avg length: 419 	 Reward: 5.515
Episode 004400 of 100000. 	 Avg length: 430 	 Reward: 5.765
Episode 004600 of 100000. 	 Avg length: 418 	 Reward: 5.41
Episode 004800 of 100000. 	 Avg length: 415 	 Reward: 5.305
Episode 005000 of 100000. 	 Avg length: 424 	 Reward: 5.775
Episode 005200 of 100000. 	 Avg length: 418 	 Reward: 5.55
Episode 005400 of 100000. 	 Avg length: 418 	 Reward: 5.525
Episode 005600 of 100000. 	 Avg length: 431 	 Reward: 5.565
Episode 005800 of 100000. 	 Avg length: 428 	 Reward: 5.635
Episode 006000 of 100000. 	 Avg length: 454 	 Reward: 6.49
Episode 006200 of 100000. 	 Avg length: 440 	 Reward: 6.085
Episode 006400 of 100000. 	 Avg length: 417 	 Reward: 5.57
Episode 006600 of 100000. 	 Avg length: 447 	 Reward: 5.985
Episode 006800 of 100000. 	 Avg length: 449 	 Reward: 6.26
Episode 007000 of 100000. 	 Avg length: 461 	 Reward: 6.445
Episode 007200 of 100000. 	 Avg length: 445 	 Reward: 6.29
Episode 007400 of 100000. 	 Avg length: 451 	 Reward: 6.46
Episode 007600 of 100000. 	 Avg length: 453 	 Reward: 6.11
Episode 007800 of 100000. 	 Avg length: 443 	 Reward: 6.185
Episode 008000 of 100000. 	 Avg length: 463 	 Reward: 6.52
Episode 008200 of 100000. 	 Avg length: 480 	 Reward: 6.82
Episode 008400 of 100000. 	 Avg length: 482 	 Reward: 6.805
Episode 008600 of 100000. 	 Avg length: 471 	 Reward: 6.82
Episode 008800 of 100000. 	 Avg length: 467 	 Reward: 6.805
Episode 009000 of 100000. 	 Avg length: 478 	 Reward: 6.92
Episode 009200 of 100000. 	 Avg length: 490 	 Reward: 7.265
Episode 009400 of 100000. 	 Avg length: 467 	 Reward: 6.735
Episode 009600 of 100000. 	 Avg length: 478 	 Reward: 7.17
Episode 009800 of 100000. 	 Avg length: 487 	 Reward: 7.06
Episode 010000 of 100000. 	 Avg length: 489 	 Reward: 7.015
Episode 010200 of 100000. 	 Avg length: 505 	 Reward: 7.34
Episode 010400 of 100000. 	 Avg length: 490 	 Reward: 7.24
Episode 010600 of 100000. 	 Avg length: 502 	 Reward: 7.54
Episode 010800 of 100000. 	 Avg length: 491 	 Reward: 7.325
Episode 011000 of 100000. 	 Avg length: 530 	 Reward: 7.955
Episode 011200 of 100000. 	 Avg length: 531 	 Reward: 8.085
Episode 011400 of 100000. 	 Avg length: 516 	 Reward: 7.745
Episode 011600 of 100000. 	 Avg length: 515 	 Reward: 7.71
Episode 011800 of 100000. 	 Avg length: 544 	 Reward: 8.265
Episode 012000 of 100000. 	 Avg length: 508 	 Reward: 7.55
Episode 012200 of 100000. 	 Avg length: 531 	 Reward: 8.205
Episode 012400 of 100000. 	 Avg length: 564 	 Reward: 8.735
Episode 012600 of 100000. 	 Avg length: 537 	 Reward: 8.275
Episode 012800 of 100000. 	 Avg length: 532 	 Reward: 8.14
Episode 013000 of 100000. 	 Avg length: 576 	 Reward: 9.175
Episode 013200 of 100000. 	 Avg length: 552 	 Reward: 8.275
Episode 013400 of 100000. 	 Avg length: 566 	 Reward: 8.865
Episode 013600 of 100000. 	 Avg length: 601 	 Reward: 9.695
Episode 013800 of 100000. 	 Avg length: 577 	 Reward: 9.325
Episode 014000 of 100000. 	 Avg length: 594 	 Reward: 9.61
Episode 014200 of 100000. 	 Avg length: 591 	 Reward: 9.465
Episode 014400 of 100000. 	 Avg length: 597 	 Reward: 9.92
Episode 014600 of 100000. 	 Avg length: 616 	 Reward: 10.605
Episode 014800 of 100000. 	 Avg length: 636 	 Reward: 10.505
Episode 015000 of 100000. 	 Avg length: 641 	 Reward: 10.785
Episode 015200 of 100000. 	 Avg length: 641 	 Reward: 11.105
Episode 015400 of 100000. 	 Avg length: 598 	 Reward: 10.225
Episode 015600 of 100000. 	 Avg length: 646 	 Reward: 10.885
Episode 015800 of 100000. 	 Avg length: 638 	 Reward: 11.075
Episode 016000 of 100000. 	 Avg length: 661 	 Reward: 11.395
Episode 016200 of 100000. 	 Avg length: 668 	 Reward: 11.685
Episode 016400 of 100000. 	 Avg length: 654 	 Reward: 11.33
Episode 016600 of 100000. 	 Avg length: 695 	 Reward: 12.13
Episode 016800 of 100000. 	 Avg length: 699 	 Reward: 12.515
Episode 017000 of 100000. 	 Avg length: 668 	 Reward: 11.76
Episode 017200 of 100000. 	 Avg length: 689 	 Reward: 12.47
Episode 017400 of 100000. 	 Avg length: 703 	 Reward: 12.69
Episode 017600 of 100000. 	 Avg length: 738 	 Reward: 13.615
Episode 017800 of 100000. 	 Avg length: 770 	 Reward: 14.8
Episode 018000 of 100000. 	 Avg length: 760 	 Reward: 14.545
Episode 018200 of 100000. 	 Avg length: 759 	 Reward: 14.115
Episode 018400 of 100000. 	 Avg length: 750 	 Reward: 13.97
Episode 018600 of 100000. 	 Avg length: 793 	 Reward: 15.29
Episode 018800 of 100000. 	 Avg length: 821 	 Reward: 16.04
Episode 019000 of 100000. 	 Avg length: 804 	 Reward: 16.405
Episode 019200 of 100000. 	 Avg length: 822 	 Reward: 16.695
Episode 019400 of 100000. 	 Avg length: 845 	 Reward: 16.995
Episode 019600 of 100000. 	 Avg length: 908 	 Reward: 18.745
Episode 019800 of 100000. 	 Avg length: 866 	 Reward: 18.515
Episode 020000 of 100000. 	 Avg length: 903 	 Reward: 18.97
Episode 020200 of 100000. 	 Avg length: 891 	 Reward: 18.46
Episode 020400 of 100000. 	 Avg length: 949 	 Reward: 20.665
Episode 020600 of 100000. 	 Avg length: 898 	 Reward: 18.99
Episode 020800 of 100000. 	 Avg length: 936 	 Reward: 20.405
Episode 021000 of 100000. 	 Avg length: 886 	 Reward: 18.58
Episode 021200 of 100000. 	 Avg length: 943 	 Reward: 20.48
Episode 021400 of 100000. 	 Avg length: 951 	 Reward: 21.775
Episode 021600 of 100000. 	 Avg length: 873 	 Reward: 18.265
Episode 021800 of 100000. 	 Avg length: 950 	 Reward: 21.235
Episode 022000 of 100000. 	 Avg length: 1016 	 Reward: 24.14
Episode 022200 of 100000. 	 Avg length: 1041 	 Reward: 23.915
Episode 022400 of 100000. 	 Avg length: 1016 	 Reward: 23.11
Episode 022600 of 100000. 	 Avg length: 1052 	 Reward: 24.595
Episode 022800 of 100000. 	 Avg length: 1040 	 Reward: 24.46
Episode 023000 of 100000. 	 Avg length: 1078 	 Reward: 25.19
Episode 023200 of 100000. 	 Avg length: 1163 	 Reward: 29.13
Episode 023400 of 100000. 	 Avg length: 1088 	 Reward: 26.705
Episode 023600 of 100000. 	 Avg length: 1104 	 Reward: 27.625
Episode 023800 of 100000. 	 Avg length: 1143 	 Reward: 28.68
Episode 024000 of 100000. 	 Avg length: 1133 	 Reward: 28.535
Episode 024200 of 100000. 	 Avg length: 1075 	 Reward: 26.665
Episode 024400 of 100000. 	 Avg length: 1127 	 Reward: 28.685
Episode 024600 of 100000. 	 Avg length: 1135 	 Reward: 29.075
Episode 024800 of 100000. 	 Avg length: 1209 	 Reward: 31.6
Episode 025000 of 100000. 	 Avg length: 1197 	 Reward: 31.26
Episode 025200 of 100000. 	 Avg length: 1226 	 Reward: 32.8
Episode 025400 of 100000. 	 Avg length: 1223 	 Reward: 32.505
Episode 025600 of 100000. 	 Avg length: 1199 	 Reward: 31.95
Episode 025800 of 100000. 	 Avg length: 1158 	 Reward: 30.485
Episode 026000 of 100000. 	 Avg length: 1215 	 Reward: 32.265
Episode 026200 of 100000. 	 Avg length: 1248 	 Reward: 35.705
Episode 026400 of 100000. 	 Avg length: 1270 	 Reward: 35.05
Episode 026600 of 100000. 	 Avg length: 1271 	 Reward: 35.74
Episode 026800 of 100000. 	 Avg length: 1131 	 Reward: 28.705
Episode 027000 of 100000. 	 Avg length: 1274 	 Reward: 35.825
Episode 027200 of 100000. 	 Avg length: 1201 	 Reward: 32.69
Episode 027400 of 100000. 	 Avg length: 1299 	 Reward: 38.99
Episode 027600 of 100000. 	 Avg length: 1225 	 Reward: 34.18
Episode 027800 of 100000. 	 Avg length: 1338 	 Reward: 37.835
Episode 028000 of 100000. 	 Avg length: 1331 	 Reward: 38.68
Episode 028200 of 100000. 	 Avg length: 1306 	 Reward: 38.45
Episode 028400 of 100000. 	 Avg length: 1291 	 Reward: 37.885
Episode 028600 of 100000. 	 Avg length: 1244 	 Reward: 35.185
Episode 028800 of 100000. 	 Avg length: 1338 	 Reward: 41.025
Episode 029000 of 100000. 	 Avg length: 1414 	 Reward: 43.145
Episode 029200 of 100000. 	 Avg length: 1351 	 Reward: 40.83
Episode 029400 of 100000. 	 Avg length: 1371 	 Reward: 40.14
Episode 029600 of 100000. 	 Avg length: 1377 	 Reward: 40.79
Episode 029800 of 100000. 	 Avg length: 1389 	 Reward: 43.24
Episode 030000 of 100000. 	 Avg length: 1337 	 Reward: 41.175
Episode 030200 of 100000. 	 Avg length: 1465 	 Reward: 47.07
Episode 030400 of 100000. 	 Avg length: 1405 	 Reward: 43.645
Episode 030600 of 100000. 	 Avg length: 1337 	 Reward: 39.035
