Initialising trial 0, Alpha policy = 0.0006177587023066247, Alpha baseline = 2.3625829680051183e-06

Trial 1, Step: 10	Avg: -9923.806011508977	Alpha_policy: 0.0006171412215216161	Alpha_baseline: 2.3602214479159885e-06
Trial 1, Step: 20	Avg: -9815.371870355639	Alpha_policy: 0.0006165243579396004	Alpha_baseline: 2.3578622882845475e-06
Trial 1, Step: 30	Avg: -9749.520782412183	Alpha_policy: 0.0006159081109436519	Alpha_baseline: 2.3555054867513978e-06
Trial 1, Step: 40	Avg: -9670.278610681347	Alpha_policy: 0.0006152924799174624	Alpha_baseline: 2.3531510409595037e-06
Trial 1, Step: 50	Avg: -9619.05562995008	Alpha_policy: 0.0006146774642453386	Alpha_baseline: 2.3507989485541836e-06
Trial 1, Step: 60	Avg: -9623.93476718293	Alpha_policy: 0.0006140630633122039	Alpha_baseline: 2.3484492071831096e-06
Trial 1, Step: 70	Avg: -9659.893344406228	Alpha_policy: 0.0006134492765035955	Alpha_baseline: 2.3461018144963057e-06
Trial 1, Step: 80	Avg: -9511.273771273698	Alpha_policy: 0.0006128361032056653	Alpha_baseline: 2.343756768146143e-06
Trial 1, Step: 90	Avg: -9495.534759153277	Alpha_policy: 0.0006122235428051787	Alpha_baseline: 2.341414065787341e-06
Trial 1, Step: 100	Avg: -9442.071755677463	Alpha_policy: 0.000611611594689514	Alpha_baseline: 2.3390737050769627e-06
Trial 1, Step: 110	Avg: -9428.744727639463	Alpha_policy: 0.0006110002582466616	Alpha_baseline: 2.3367356836744135e-06
Trial 1, Step: 120	Avg: -9432.911291531538	Alpha_policy: 0.000610389532865224	Alpha_baseline: 2.334399999241438e-06
Trial 1, Step: 130	Avg: -9340.186339876678	Alpha_policy: 0.0006097794179344147	Alpha_baseline: 2.332066649442118e-06
Trial 1, Step: 140	Avg: -9321.455921938517	Alpha_policy: 0.0006091699128440576	Alpha_baseline: 2.3297356319428697e-06
Trial 1, Step: 150	Avg: -9322.435646520851	Alpha_policy: 0.0006085610169845868	Alpha_baseline: 2.327406944412442e-06
Trial 1, Step: 160	Avg: -9387.222944048526	Alpha_policy: 0.0006079527297470455	Alpha_baseline: 2.325080584521915e-06
Trial 1, Step: 170	Avg: -9350.888465012902	Alpha_policy: 0.0006073450505230852	Alpha_baseline: 2.3227565499446944e-06
Trial 1, Step: 180	Avg: -9355.167111505983	Alpha_policy: 0.0006067379787049662	Alpha_baseline: 2.320434838356515e-06
Trial 1, Step: 190	Avg: -9396.36139133986	Alpha_policy: 0.0006061315136855562	Alpha_baseline: 2.318115447435433e-06
Trial 1, Step: 200	Avg: -9443.32250597985	Alpha_policy: 0.0006055256548583288	Alpha_baseline: 2.315798374861824e-06
Trial 1, Step: 210	Avg: -9454.957190847354	Alpha_policy: 0.0006049204016173648	Alpha_baseline: 2.3134836183183836e-06
Trial 1, Step: 220	Avg: -9492.536599783147	Alpha_policy: 0.0006043157533573504	Alpha_baseline: 2.3111711754901243e-06
Trial 1, Step: 230	Avg: -9423.351875197035	Alpha_policy: 0.0006037117094735768	Alpha_baseline: 2.308861044064371e-06
Trial 1, Step: 240	Avg: -9441.300485195696	Alpha_policy: 0.0006031082693619399	Alpha_baseline: 2.3065532217307613e-06
Trial 1, Step: 250	Avg: -9432.564462519056	Alpha_policy: 0.0006025054324189388	Alpha_baseline: 2.304247706181242e-06
Trial 1, Step: 260	Avg: -9198.28190727928	Alpha_policy: 0.0006019031980416764	Alpha_baseline: 2.3019444951100674e-06
Trial 1, Step: 270	Avg: -9265.963181662075	Alpha_policy: 0.0006013015656278582	Alpha_baseline: 2.299643586213795e-06
Trial 1, Step: 280	Avg: -9216.353420979663	Alpha_policy: 0.0006007005345757914	Alpha_baseline: 2.297344977191286e-06
Trial 1, Step: 290	Avg: -9226.74408079204	Alpha_policy: 0.0006001001042843848	Alpha_baseline: 2.2950486657437016e-06
Trial 1, Step: 300	Avg: -9300.681207273863	Alpha_policy: 0.0005995002741531479	Alpha_baseline: 2.2927546495745e-06
Trial 1, Step: 310	Avg: -9362.487504302546	Alpha_policy: 0.0005989010435821908	Alpha_baseline: 2.2904629263894356e-06
Trial 1, Step: 320	Avg: -9412.286687797094	Alpha_policy: 0.0005983024119722228	Alpha_baseline: 2.2881734938965554e-06
Trial 1, Step: 330	Avg: -9368.952927465747	Alpha_policy: 0.0005977043787245524	Alpha_baseline: 2.2858863498061983e-06
Trial 1, Step: 340	Avg: -9260.929487323796	Alpha_policy: 0.0005971069432410863	Alpha_baseline: 2.283601491830992e-06
Trial 1, Step: 350	Avg: -9129.145532747278	Alpha_policy: 0.0005965101049243294	Alpha_baseline: 2.2813189176858472e-06
Trial 1, Step: 360	Avg: -9212.414829875295	Alpha_policy: 0.0005959138631773836	Alpha_baseline: 2.2790386250879643e-06
Trial 1, Step: 370	Avg: -9075.039826967886	Alpha_policy: 0.0005953182174039476	Alpha_baseline: 2.2767606117568213e-06
Trial 1, Step: 380	Avg: -9137.212599412715	Alpha_policy: 0.0005947231670083159	Alpha_baseline: 2.274484875414176e-06
Trial 1, Step: 390	Avg: -9219.710540365417	Alpha_policy: 0.0005941287113953787	Alpha_baseline: 2.272211413784066e-06
Trial 1, Step: 400	Avg: -9276.709272538175	Alpha_policy: 0.0005935348499706204	Alpha_baseline: 2.2699402245928014e-06
Trial 1, Step: 410	Avg: -9230.157455967117	Alpha_policy: 0.0005929415821401209	Alpha_baseline: 2.267671305568965e-06
Trial 1, Step: 420	Avg: -9254.278202597481	Alpha_policy: 0.0005923489073105522	Alpha_baseline: 2.2654046544434113e-06
Trial 1, Step: 430	Avg: -9256.761765485815	Alpha_policy: 0.0005917568248891806	Alpha_baseline: 2.2631402689492613e-06
Trial 1, Step: 440	Avg: -9272.83866324418	Alpha_policy: 0.0005911653342838643	Alpha_baseline: 2.260878146821904e-06
Trial 1, Step: 450	Avg: -9265.148321398596	Alpha_policy: 0.0005905744349030536	Alpha_baseline: 2.2586182857989905e-06
Trial 1, Step: 460	Avg: -9314.74211408276	Alpha_policy: 0.0005899841261557899	Alpha_baseline: 2.2563606836204337e-06
Trial 1, Step: 470	Avg: -9335.657721739402	Alpha_policy: 0.0005893944074517052	Alpha_baseline: 2.254105338028406e-06
Trial 1, Step: 480	Avg: -9399.180751870605	Alpha_policy: 0.000588805278201022	Alpha_baseline: 2.2518522467673345e-06
Trial 1, Step: 490	Avg: -9413.208441671504	Alpha_policy: 0.0005882167378145519	Alpha_baseline: 2.2496014075839036e-06
Trial 1, Step: 500	Avg: -9361.225454515326	Alpha_policy: 0.0005876287857036958	Alpha_baseline: 2.247352818227049e-06
[I 2019-11-15 19:47:23,650] Finished trial#0 resulted in value: -9361.225454515326. Current best value is -9361.225454515326 with parameters: {'alpha_policy': 0.0006177587023066247, 'alpha_baseline': 2.3625829680051183e-06}.
Initialising trial 1, Alpha policy = 9.824187582786641e-06, Alpha baseline = 1.0739600029367916e-05

Trial 2, Step: 10	Avg: -9941.24260046794	Alpha_policy: 9.814367814909574e-06	Alpha_baseline: 1.0728865260870038e-05
Trial 2, Step: 20	Avg: -9933.518182510175	Alpha_policy: 9.804557862382663e-06	Alpha_baseline: 1.0718141222311299e-05
Trial 2, Step: 30	Avg: -9861.955599611805	Alpha_policy: 9.794757715394981e-06	Alpha_baseline: 1.0707427902966587e-05
Trial 2, Step: 40	Avg: -9794.633599761895	Alpha_policy: 9.784967364145395e-06	Alpha_baseline: 1.0696725292121511e-05
Trial 2, Step: 50	Avg: -9705.33191572082	Alpha_policy: 9.775186798842574e-06	Alpha_baseline: 1.068603337907239e-05
Trial 2, Step: 60	Avg: -9723.127466500726	Alpha_policy: 9.765416009704975e-06	Alpha_baseline: 1.0675352153126238e-05
Trial 2, Step: 70	Avg: -9685.431793040294	Alpha_policy: 9.75565498696083e-06	Alpha_baseline: 1.0664681603600763e-05
Trial 2, Step: 80	Avg: -9601.542020583103	Alpha_policy: 9.745903720848143e-06	Alpha_baseline: 1.0654021719824347e-05
Trial 2, Step: 90	Avg: -9502.41917374653	Alpha_policy: 9.736162201614664e-06	Alpha_baseline: 1.064337249113604e-05
Trial 2, Step: 100	Avg: -9433.31648148808	Alpha_policy: 9.726430419517905e-06	Alpha_baseline: 1.0632733906885543e-05
Trial 2, Step: 110	Avg: -9310.125429788035	Alpha_policy: 9.716708364825107e-06	Alpha_baseline: 1.0622105956433212e-05
Trial 2, Step: 120	Avg: -9376.089804695896	Alpha_policy: 9.706996027813244e-06	Alpha_baseline: 1.0611488629150033e-05
Trial 2, Step: 130	Avg: -9363.187182997532	Alpha_policy: 9.697293398769007e-06	Alpha_baseline: 1.0600881914417612e-05
Trial 2, Step: 140	Avg: -9424.077903167103	Alpha_policy: 9.687600467988797e-06	Alpha_baseline: 1.0590285801628171e-05
Trial 2, Step: 150	Avg: -9319.930279022841	Alpha_policy: 9.677917225778712e-06	Alpha_baseline: 1.0579700280184541e-05
Trial 2, Step: 160	Avg: -9380.389548354598	Alpha_policy: 9.668243662454537e-06	Alpha_baseline: 1.0569125339500141e-05
