Initialising trial 0, Alpha policy = 2.551143781407052e-07, Alpha baseline = 1.0116644596465963e-13

Initialising trial 1, Alpha policy = 3.3954377544006882e-09, Alpha baseline = 4.27320369530231e-08

Initialising trial 2, Alpha policy = 3.986949587935882e-09, Alpha baseline = 2.770795178243995e-09

Initialising trial 3, Alpha policy = 1.0928297286816009e-10, Alpha baseline = 5.705530231360086e-10

Trial 2, Step: 10	Avg: -9809.306857467811	Alpha_policy: 3.392043844185896e-09	Alpha_baseline: 4.268932414035976e-08
Trial 4, Step: 10	Avg: -9815.34097193072	Alpha_policy: 1.0917373905951806e-10	Alpha_baseline: 5.699827267932785e-10
Trial 3, Step: 10	Avg: -9912.7205013574	Alpha_policy: 3.9829644319969105e-09	Alpha_baseline: 2.768025629591144e-09
Trial 1, Step: 10	Avg: -10000.0	Alpha_policy: 2.548593785334262e-07	Alpha_baseline: 1.010653250314578e-13
Trial 2, Step: 20	Avg: -9399.134499799493	Alpha_policy: 3.3886533263544666e-09	Alpha_baseline: 4.264665402129344e-08
Trial 4, Step: 20	Avg: -9682.882012580916	Alpha_policy: 1.0906461443554257e-10	Alpha_baseline: 5.694130004903264e-10
Trial 3, Step: 20	Avg: -9902.915597772482	Alpha_policy: 3.978983259421036e-09	Alpha_baseline: 2.7652588492409816e-09
Trial 2, Step: 30	Avg: -9202.202807978563	Alpha_policy: 3.3852661975155426e-09	Alpha_baseline: 4.260402655314977e-08
Trial 1, Step: 20	Avg: -10000.0	Alpha_policy: 2.5460463381103536e-07	Alpha_baseline: 1.009643051736969e-13
Trial 4, Step: 30	Avg: -9603.989417682747	Alpha_policy: 1.0895559888709804e-10	Alpha_baseline: 5.688438436573689e-10
Trial 2, Step: 40	Avg: -9136.542185208022	Alpha_policy: 3.381882454281655e-09	Alpha_baseline: 4.256144169329699e-08
Trial 3, Step: 30	Avg: -9912.198606862488	Alpha_policy: 3.975006066226688e-09	Alpha_baseline: 2.7624948344264497e-09
Trial 1, Step: 30	Avg: -10000.0	Alpha_policy: 2.543501437187624e-07	Alpha_baseline: 1.0086338629034694e-13
Trial 2, Step: 50	Avg: -8849.087015602034	Alpha_policy: 3.3785020932687236e-09	Alpha_baseline: 4.2518899399145975e-08
Trial 4, Step: 40	Avg: -9505.274095620849	Alpha_policy: 1.0884669230515808e-10	Alpha_baseline: 5.682752557251918e-10
Trial 3, Step: 40	Avg: -9836.498029801938	Alpha_policy: 3.971032848436274e-09	Alpha_baseline: 2.759733582383258e-09
Trial 1, Step: 40	Avg: -10000.0	Alpha_policy: 2.540959080020917e-07	Alpha_baseline: 1.0076256828047895e-13
Trial 2, Step: 60	Avg: -8786.969387529653	Alpha_policy: 3.3751251110960474e-09	Alpha_baseline: 4.2476399628150185e-08
Trial 4, Step: 50	Avg: -9368.211409019013	Alpha_policy: 1.0873789458080514e-10	Alpha_baseline: 5.677072361251507e-10
Trial 3, Step: 50	Avg: -9775.520793132202	Alpha_policy: 3.967063602076179e-09	Alpha_baseline: 2.7569750903498775e-09
Trial 2, Step: 70	Avg: -8612.69028325719	Alpha_policy: 3.371751504386307e-09	Alpha_baseline: 4.2433942337805596e-08
Trial 1, Step: 50	Avg: -10000.0	Alpha_policy: 2.538419264067621e-07	Alpha_baseline: 1.0066185104326482e-13
Trial 4, Step: 60	Avg: -9364.289483925393	Alpha_policy: 1.0862920560523065e-10	Alpha_baseline: 5.67139784289169e-10
Trial 2, Step: 80	Avg: -8597.115500428223	Alpha_policy: 3.3683812697655584e-09	Alpha_baseline: 4.239152748565066e-08
Trial 3, Step: 60	Avg: -9796.98502909657	Alpha_policy: 3.96309832317676e-09	Alpha_baseline: 2.7542193555675395e-09
Trial 1, Step: 60	Avg: -10000.0	Alpha_policy: 2.535881986787665e-07	Alpha_baseline: 1.0056123447797723e-13
Trial 2, Step: 90	Avg: -8377.473302631804	Alpha_policy: 3.3650144038632295e-09	Alpha_baseline: 4.234915502926627e-08
Trial 4, Step: 70	Avg: -9194.973452733258	Alpha_policy: 1.0852062526973474e-10	Alpha_baseline: 5.66572899649738e-10
Trial 3, Step: 70	Avg: -9773.246926587306	Alpha_policy: 3.95913700777234e-09	Alpha_baseline: 2.751466375280233e-09
Trial 2, Step: 100	Avg: -8366.017370435382	Alpha_policy: 3.3616509033121173e-09	Alpha_baseline: 4.230682492627576e-08
Trial 1, Step: 70	Avg: -10000.0	Alpha_policy: 2.5333472456435194e-07	Alpha_baseline: 1.0046071848398953e-13
Trial 4, Step: 80	Avg: -9141.737893896761	Alpha_policy: 1.084121534657262e-10	Alpha_baseline: 5.660065816399162e-10
Trial 2, Step: 110	Avg: -8220.63341885216	Alpha_policy: 3.3582907647483845e-09	Alpha_baseline: 4.226453713434477e-08
Trial 3, Step: 80	Avg: -9754.785228471472	Alpha_policy: 3.9551796519012075e-09	Alpha_baseline: 2.7487161467347037e-09
Trial 4, Step: 90	Avg: -9070.29300758622	Alpha_policy: 1.0830379008472235e-10	Alpha_baseline: 5.654408296933292e-10
Trial 1, Step: 80	Avg: -9932.395654398644	Alpha_policy: 2.5308150381001886e-07	Alpha_baseline: 1.0036030296077567e-13
Trial 2, Step: 120	Avg: -8153.76077250128	Alpha_policy: 3.3549339848115567e-09	Alpha_baseline: 4.2222291611181284e-08
Trial 3, Step: 90	Avg: -9778.232156102218	Alpha_policy: 3.951226251605611e-09	Alpha_baseline: 2.745968667180447e-09
Trial 4, Step: 100	Avg: -9012.140576853722	Alpha_policy: 1.0819553501834899e-10	Alpha_baseline: 5.648756432441683e-10
Trial 2, Step: 130	Avg: -8087.426225131487	Alpha_policy: 3.351580560144517e-09	Alpha_baseline: 4.218008831453554e-08
Trial 1, Step: 90	Avg: -9870.055548687276	Alpha_policy: 2.5282853616252117e-07	Alpha_baseline: 1.0025998780791008e-13
Trial 3, Step: 100	Avg: -9752.805907809707	Alpha_policy: 3.947276802931754e-09	Alpha_baseline: 2.743223933869709e-09
Trial 2, Step: 140	Avg: -7970.693948788471	Alpha_policy: 3.3482304873935055e-09	Alpha_baseline: 4.213792720220003e-08
Trial 4, Step: 110	Avg: -8908.263120194026	Alpha_policy: 1.0808738815834021e-10	Alpha_baseline: 5.643110217271904e-10
Trial 1, Step: 100	Avg: -9776.49817949831	Alpha_policy: 2.5257582136886584e-07	Alpha_baseline: 1.0015977292506761e-13
Trial 2, Step: 150	Avg: -8003.286679768091	Alpha_policy: 3.3448837632081145e-09	Alpha_baseline: 4.209580823200941e-08
Trial 3, Step: 110	Avg: -9736.437849242855	Alpha_policy: 3.943331301929793e-09	Alpha_baseline: 2.7404819440574805e-09
Trial 4, Step: 120	Avg: -8940.992403090797	Alpha_policy: 1.079793493965383e-10	Alpha_baseline: 5.637469645777175e-10
Trial 1, Step: 110	Avg: -9735.233936806439	Alpha_policy: 2.5232335917631285e-07	Alpha_baseline: 1.0005965821202332e-13
Trial 2, Step: 160	Avg: -7925.809908308588	Alpha_policy: 3.3415403842412847e-09	Alpha_baseline: 4.205373136184051e-08
Trial 3, Step: 120	Avg: -9736.230175177418	Alpha_policy: 3.939389744653833e-09	Alpha_baseline: 2.737742695001498e-09
Trial 4, Step: 130	Avg: -8957.140532014246	Alpha_policy: 1.0787141862489374e-10	Alpha_baseline: 5.631834712316363e-10
Trial 1, Step: 120	Avg: -9732.798699648196	Alpha_policy: 2.5207114933237466e-07	Alpha_baseline: 9.995964356865243e-14
Trial 2, Step: 170	Avg: -7869.960084269335	Alpha_policy: 3.338200347149302e-09	Alpha_baseline: 4.201169654961221e-08
Trial 3, Step: 130	Avg: -9668.342667850942	Alpha_policy: 3.935452127161921e-09	Alpha_baseline: 2.735006183962238e-09
Trial 2, Step: 180	Avg: -7830.13135827122	Alpha_policy: 3.3348636485917946e-09	Alpha_baseline: 4.196970375328552e-08
Trial 4, Step: 140	Avg: -8899.901251400466	Alpha_policy: 1.0776359573546493e-10	Alpha_baseline: 5.626205411253967e-10
Trial 1, Step: 130	Avg: -9627.958084314847	Alpha_policy: 2.5181919158481623e-07	Alpha_baseline: 9.985972889493034e-14
Trial 3, Step: 140	Avg: -9568.59093820093	Alpha_policy: 3.931518445516045e-09	Alpha_baseline: 2.7322724082029157e-09
Trial 2, Step: 190	Avg: -7840.676659127594	Alpha_policy: 3.3315302852317312e-09	Alpha_baseline: 4.192775293086346e-08
Trial 1, Step: 140	Avg: -9605.685095408726	Alpha_policy: 2.515674856816547e-07	Alpha_baseline: 9.975991409093234e-14
Trial 4, Step: 150	Avg: -8981.01600194934	Alpha_policy: 1.0765588062041819e-10	Alpha_baseline: 5.620581736960122e-10
Trial 2, Step: 200	Avg: -7722.377232099581	Alpha_policy: 3.3282002537354147e-09	Alpha_baseline: 4.188584404039097e-08
Trial 3, Step: 150	Avg: -9530.926400817329	Alpha_policy: 3.927588695782131e-09	Alpha_baseline: 2.729541364989482e-09
Trial 2, Step: 210	Avg: -7683.504026250288	Alpha_policy: 3.3248735507724794e-09	Alpha_baseline: 4.184397703995498e-08
Trial 1, Step: 150	Avg: -9643.388668378846	Alpha_policy: 2.513160313711588e-07	Alpha_baseline: 9.966019905683366e-14
Trial 4, Step: 160	Avg: -9018.955558682803	Alpha_policy: 1.0754827317202763e-10	Alpha_baseline: 5.614963683810594e-10
Trial 3, Step: 160	Avg: -9452.673443048674	Alpha_policy: 3.9236628740300345e-09	Alpha_baseline: 2.7268130515906184e-09
Trial 2, Step: 220	Avg: -7656.217403791783	Alpha_policy: 3.32155017301589e-09	Alpha_baseline: 4.180215188768429e-08
Trial 1, Step: 160	Avg: -9677.487103936808	Alpha_policy: 2.5106482840184907e-07	Alpha_baseline: 9.956058369290929e-14
Trial 4, Step: 170	Avg: -9046.288389915699	Alpha_policy: 1.0744077328267497e-10	Alpha_baseline: 5.609351246186763e-10
Trial 2, Step: 230	Avg: -7584.932068125816	Alpha_policy: 3.3182301171419364e-09	Alpha_baseline: 4.1760368541749584e-08
Trial 3, Step: 170	Avg: -9453.097511737029	Alpha_policy: 3.919740976333542e-09	Alpha_baseline: 2.7240874652777412e-09
Trial 2, Step: 240	Avg: -7642.233006946396	Alpha_policy: 3.3149133798302293e-09	Alpha_baseline: 4.171862696036332e-08
Trial 1, Step: 170	Avg: -9708.325117841272	Alpha_policy: 2.508138765224975e-07	Alpha_baseline: 9.946106789953385e-14
Trial 4, Step: 180	Avg: -9048.993498906273	Alpha_policy: 1.0733338084484965e-10	Alpha_baseline: 5.603744418475635e-10
Trial 3, Step: 180	Avg: -9438.042092837257	Alpha_policy: 3.915822998770363e-09	Alpha_baseline: 2.7213646033249902e-09
Trial 2, Step: 250	Avg: -7581.6913567601305	Alpha_policy: 3.3115999577637005e-09	Alpha_baseline: 4.1676927101779734e-08
Initialising trial 4, Alpha policy = 3.2863361916072007e-13, Alpha baseline = 2.5974247743766884e-11

[I 2019-11-13 23:42:17,609] Finished trial#1 resulted in value: -7581.6913567601305. Current best value is -7581.6913567601305 with parameters: {'alpha_policy': 3.3954377544006882e-09, 'alpha_baseline': 4.27320369530231e-08}.
Trial 4, Step: 190	Avg: -8989.344995838135	Alpha_policy: 1.0722609575114843e-10	Alpha_baseline: 5.598143195069816e-10
Trial 1, Step: 180	Avg: -9723.86446484534	Alpha_policy: 2.505631754821271e-07	Alpha_baseline: 9.936165157718163e-14
Trial 3, Step: 190	Avg: -9481.72750758795	Alpha_policy: 3.911908937422125e-09	Alpha_baseline: 2.71864446300923e-09
Trial 4, Step: 200	Avg: -8775.049985206475	Alpha_policy: 1.0711891789427551e-10	Alpha_baseline: 5.592547570367524e-10
Trial 5, Step: 10	Avg: -10000.0	Alpha_policy: 3.2830513338725886e-13	Alpha_baseline: 2.5948285181318236e-11
Trial 1, Step: 190	Avg: -9703.49404317261	Alpha_policy: 2.503127250300116e-07	Alpha_baseline: 9.926233462642636e-14
Trial 3, Step: 200	Avg: -9470.251292068793	Alpha_policy: 3.9079987883743774e-09	Alpha_baseline: 2.715927041610049e-09
Trial 4, Step: 210	Avg: -8768.370425473498	Alpha_policy: 1.0701184716704226e-10	Alpha_baseline: 5.586957538772576e-10
Trial 5, Step: 20	Avg: -10000.0	Alpha_policy: 3.279769759517919e-13	Alpha_baseline: 2.5922348569752e-11
Trial 3, Step: 210	Avg: -9385.45517899204	Alpha_policy: 3.90409254771658e-09	Alpha_baseline: 2.713212336409754e-09
Trial 1, Step: 200	Avg: -9731.845327511974	Alpha_policy: 2.500625249156756e-07	Alpha_baseline: 9.916311694794112e-14
Trial 4, Step: 220	Avg: -8691.584670462753	Alpha_policy: 1.0690488346236728e-10	Alpha_baseline: 5.58137309469438e-10
Trial 5, Step: 30	Avg: -10000.0	Alpha_policy: 3.2764914652612894e-13	Alpha_baseline: 2.589643788312897e-11
Trial 3, Step: 220	Avg: -9306.611916134687	Alpha_policy: 3.900190211542101e-09	Alpha_baseline: 2.7105003446933673e-09
Trial 1, Step: 210	Avg: -9720.60822087197	Alpha_policy: 2.4981257488889396e-07	Alpha_baseline: 9.906399844249832e-14
Trial 4, Step: 230	Avg: -8585.17887027315	Alpha_policy: 1.0679802667327616e-10	Alpha_baseline: 5.575794232547931e-10
